"","Easting","Northing"
"Site 153",897177.135779998,3915302.58386227
"Site 154",900221.636487038,3878840.41072961
"Site 155",911954.041252854,3731620.83852169
"Site 156",860210.391878773,3940454.7875809
"Site 157",934446.507646445,3943816.96498146
"Site 158",916494.132652869,3916586.88902383
"Site 159",867729.809214645,3876741.01989766
"Site 160",948430.38141179,3952077.92654939
"Site 161",985969.155160006,3971486.26147853
"Site 162",962399.384926427,4020602.7341485
"Site 163",894191.047949111,4004041.61439096
"Site 164",858949.038413468,3998647.66645667
"Site 165",867844.199631552,3656709.7018723
"Site 166",815838.985698387,3765320.79592705
"Site 167",879419.104064729,3817150.31435299
"Site 168",827016.943125576,3810054.12309581
"Site 169",868906.952871538,3986344.16701725
"Site 170",910653.833533321,3932592.90639791
"Site 171",837445.15834475,3925862.26611526
"Site 172",803854.578732776,3695917.70602413
"Site 173",819303.66389207,3774889.97142849
"Site 174",918494.640999014,3941441.11602547
"Site 175",940383.246968657,3826669.47034863
"Site 176",906506.8311072,3703055.36075345
"Site 177",912019.036750626,3691995.47680804
"Site 178",816473.615500658,3672174.88024669
"Site 179",933439.205445864,3860405.67491903
"Site 180",883078.143507618,3918785.0651471
"Site 181",944328.333694727,3768666.22854952
"Site 182",925525.943774657,3943453.8011465
"Site 183",942863.921577845,3893655.30420451
"Site 184",936165.661013845,3719099.72848995
"Site 185",865868.980259852,3212011.31833153
"Site 186",751601.232661206,3402298.1785701
"Site 187",819626.281745286,3299899.82506135
"Site 188",818876.794664795,3328089.69680996
"Site 189",816106.386796178,3382135.59924106
"Site 190",843806.378210589,3415742.8338355
"Site 191",778273.656351481,3328939.32370796
"Site 192",883720.21148897,3923427.35967665
"Site 193",952415.80373355,3943821.06388888
"Site 194",861634.667512104,3811784.52608466
"Site 195",817989.159666642,3843846.45895325
"Site 196",917845.609686389,3851100.92041349
"Site 197",850275.896407749,3821008.37321614
"Site 198",957480.076327799,3897333.10690107
"Site 199",893631.801836638,3812963.21337192
"Site 200",901181.921602587,3876237.75064724
"Site 201",901056.531931025,3962494.76460987
"Site 202",922664.589911884,3730401.48304983
"Site 203",888526.377055854,3718560.26292691
"Site 204",854448.23155914,3752456.09950307
"Site 205",892801.456504325,3714260.62183303
"Site 206",859153.77357013,3714173.49028151
"Site 207",883438.232252069,3690747.1994565
"Site 208",866481.299200728,3723951.53971072
"Site 209",878588.952938891,3772406.45117701
"Site 210",857777.738503546,3663589.70254702
"Site 211",1054229.00244408,3693286.69645935
"Site 212",888362.889799682,3851490.44012769
"Site 213",930476.846990897,3851451.96278264
"Site 214",875995.12794026,3977218.05704424
"Site 215",848894.740742463,3880585.7368155
"Site 216",922053.128346175,3943574.77037369
"Site 217",670840.876354563,3481769.82598126
"Site 218",961628.627439454,4023081.65259589
"Site 219",891344.057506049,3915577.79407503
"Site 220",874904.345517498,3882667.96342666
"Site 221",851421.260943664,3335837.48812262
"Site 222",743933.883411132,3266121.16489446
"Site 223",771689.655298434,3324072.54687391
"Site 224",781527.110668571,3331155.75534412
"Site 225",730803.752435742,3284432.99534969
"Site 226",681982.40653764,3363439.26231552
"Site 227",738683.844929639,3312368.50909817
"Site 228",656054.211075418,3423844.4174324
"Site 229",750198.124364673,3353487.57158388
"Site 230",697765.009726258,3402307.95144288
"Site 231",795158.585540715,3300317.58857782
"Site 232",788326.45709433,3317850.94705719
"Site 233",781961.995140021,3364849.78802694
"Site 234",775697.525019372,3382260.45535837
"Site 235",755817.970326347,3392124.31319658
"Site 236",806437.414345227,3199607.3900171
"Site 237",943999.411647905,3893754.86328709
"Site 238",946283.860050109,3904754.69225074
"Site 239",912316.643912373,3817009.03554347
"Site 240",958854.752091356,3957979.57072012
"Site 241",903680.161621453,3877836.23993316
"Site 242",432778.737908162,3282530.35330707
"Site 243",728981.313745834,3294647.77376049
"Site 244",701785.70337166,3358682.97906074
"Site 245",703916.569375258,3372202.94261994
"Site 246",714231.736296347,3273561.95333173
"Site 247",786205.617922682,3311143.35418438
"Site 248",789503.451640884,3326356.27915482
"Site 249",811886.273956691,3341859.24243204
"Site 250",780380.09426543,3364804.90934115
"Site 251",747278.686887212,3330934.44605632
"Site 252",783507.215644794,3361017.26753072
"Site 253",704005.4726923,3332198.42962854
"Site 254",702253.502497295,3240840.72754812
"Site 255",722048.220737575,3331094.6701337
"Site 256",782980.559071368,3253051.47607633
"Site 257",735124.847119994,3340697.31343884
"Site 258",823151.757377688,3344762.16297096
"Site 259",793630.893755754,3330470.3233561
"Site 260",749276.10315778,3325626.02195477
"Site 261",734215.176341628,3340430.20774651
"Site 262",743937.447467804,3353991.46866122
"Site 263",764567.288765145,3297610.60407094
"Site 264",732683.891753059,3316701.15406999
"Site 265",753668.908268648,3348264.34292509
"Site 266",776633.160658783,3298267.02397578
"Site 267",753601.551544222,3300443.99622207
"Site 268",776569.350395486,3331551.77194192
"Site 269",817145.486004322,3318349.97754395
"Site 270",784038.446237528,3347985.01347162
"Site 271",794309.3692995,3285947.40662401
"Site 272",761717.331380607,3278792.09933928
"Site 273",794738.795754729,3420266.81135654
"Site 274",757803.470913425,3348866.00785943
"Site 275",708820.901375149,3280401.60373211
"Site 276",719844.070687478,3371182.69074105
"Site 277",712905.308700061,3353686.62373017
"Site 278",708703.179486497,3322100.80525792
"Site 279",755222.031540342,3323016.11355094
"Site 280",732004.351894701,3365369.6281295
